NN size,Encoding rate,Encoding,Network,Decoding,Rotating,yolo,Server,Frame Rate,Confidence,Cumulative Confidence
128,25,5,6,1.9,0.1,10.9,14,38.4615384615385,"[0.840187, 0.741672, 0.636556, 0.566246]",2.784661
128,25,3,5.3,1.3,0.1,10.9,12.7,47.6190476190476,[0.963605],0.963605
128,25,4,4.3,1.8,0.1,10.9,13.7,40,"[0.856423, 0.831634]",1.688057
128,25,4,5.1,1.4,0.1,10.8,12.9,43.4782608695652,"[0.816231, 0.958313]",1.774544
128,25,5,4.8,2,0.1,8.9,12.2,41.6666666666667,[0.626583],0.626583
128,25,5,5.2,1.3,0.1,10.7,12.8,40,"[0.788915, 0.73175, 0.709228, 0.705768, 0.644508, 0.634694, 0.629503, 0.533311]",5.377677
128,25,5,6.2,1.2,0.1,11.2,12.8,40,"[0.725578, 0.622182]",1.34776
128,25,4,5.4,1.3,0.2,10.7,12.6,41.6666666666667,[0.8779],0.8779
128,25,4,5.7,1.9,0.1,9.2,12.3,43.4782608695652,"[0.824561, 0.635495, 0.881997, 0.878628]",3.220681
128,25,5,4,0.6,0.1,8,9,52.6315789473684,"[0.84414, 0.680599]",1.524739
128,25,3,4.7,1.7,0.1,10.8,13.3,45.4545454545455,"[0.990978, 0.943429]",1.934407
128,25,6,5.2,1.8,0.1,11.1,13.8,40,[],0
128,25,3,4.4,1.3,0.1,9.7,11.6,52.6315789473684,[],0
128,25,3,5.3,0.7,0.1,7.5,8.7,55.5555555555556,[0.622073],0.622073
128,25,4,6.5,1.8,0.2,10.8,13.5,41.6666666666667,[],0
128,25,5,6,1.6,0.1,10.6,13,41.6666666666667,"[0.95365, 0.992093]",1.945743
128,25,4,4,1.3,0.1,9.1,11,50,[0.906525],0.906525
128,25,5,6.6,1.6,0.1,9,11.4,43.4782608695652,[],0
128,25,3,5.3,0.7,0.1,11.5,12.7,43.4782608695652,[0.715547],0.715547
128,25,4,5.6,1.4,0.3,11.2,13.4,41.6666666666667,[0.965381],0.965381
128,25,3,4.8,1.3,0.1,11.3,13.2,43.4782608695652,[0.974826],0.974826
128,25,4,5.2,1.9,0.1,11,13.8,43.4782608695652,[],0
128,25,6,3.5,1.1,0.3,10.8,12.5,43.4782608695652,[],0
128,25,4,3.1,0.2,0,8.3,8.9,55.5555555555556,[0.653168],0.653168
128,25,4,6.8,1.5,0.2,10.7,13.2,41.6666666666667,[0.93735],0.93735
128,25,3,5,1.1,0.1,11.4,13,47.6190476190476,[],0
128,25,5,4.1,1.7,0.1,9.1,11.9,43.4782608695652,[0.601887],0.601887
128,25,4,4.5,0.6,0.1,7.5,8.5,55.5555555555556,[],0
128,25,4,4.6,1.5,0.1,11.1,13.4,43.4782608695652,"[0.889221, 0.965591]",1.854812
128,25,6,6.2,1.9,0.1,10.7,13.8,37.037037037037,"[0.955511, 0.876932, 0.822584]",2.655027
128,25,3,6.9,1.9,0.1,10.9,14.1,40,[0.550114],0.550114
128,25,5,6.7,1.1,0.3,11.5,13.3,40,[],0
128,25,4,5.2,1.4,0.1,10.8,12.8,43.4782608695652,[],0
128,25,6,5.4,1.3,0.1,10.8,12.6,40,"[0.985895, 0.574781]",1.560676
128,25,4,5.1,1.3,0.3,10.9,12.9,45.4545454545455,[],0
128,25,4,6.6,1.7,0.1,10.8,13.4,40,"[0.80053, 0.765345, 0.711869]",2.277744
128,25,3,3.7,0.6,0,7.4,8.3,62.5,[],0
128,25,4,5.6,1.6,0.1,9.1,11.4,47.6190476190476,[],0
128,25,5,7.8,0.8,0.1,8.5,10.2,41.6666666666667,"[0.853686, 0.798579, 0.696092, 0.60653, 0.601675, 0.738178]",4.29474
128,25,5,5,1.8,0.1,9.2,12,45.4545454545455,[],0
128,25,4,4.2,0.5,0.1,7.8,8.8,55.5555555555556,[0.988405],0.988405
128,25,4,6.8,0.5,0,7.4,8.2,52.6315789473684,[],0
128,25,3,4.9,2,0.1,10.7,14.1,45.4545454545455,[],0
128,25,4,5,1.6,0.1,10.7,13,43.4782608695652,[0.984699],0.984699
128,25,4,5.9,1.6,0.1,10.8,13.1,41.6666666666667,[],0
128,25,6,5.1,1.4,0.1,11,12.9,40,[0.59939],0.59939
128,25,5,4.3,1.4,0.1,9.5,11.7,47.6190476190476,[0.921084],0.921084
128,25,3,4.3,0.6,0.1,7.8,8.7,58.8235294117647,[0.736983],0.736983
128,25,4,4.3,1.6,0.1,9.3,11.7,50,[0.615024],0.615024
128,25,3,6.6,2.1,0.1,9.2,12.4,41.6666666666667,"[0.965733, 0.963313, 0.939228, 0.905918, 0.904665, 0.86075, 0.68378, 0.613213, 0.57814]",7.41474
128,25,4,6.1,2,0.1,10.7,13.9,41.6666666666667,[0.838715],0.838715
128,25,3,4.2,1.4,0.1,10.8,12.8,47.6190476190476,[0.773716],0.773716
128,25,6,5,1.4,0.1,10.7,13,40,"[0.728003, 0.859596, 0.983415]",2.571014
128,25,5,5,1.9,0.1,9,12,43.4782608695652,[0.983447],0.983447
128,25,3,5.6,0.6,0.1,7.5,8.4,58.8235294117647,[],0
128,25,6,4.9,1.6,0.1,10.8,13.1,41.6666666666667,[0.988993],0.988993
128,25,3,3.4,1.3,0.1,10.8,12.6,52.6315789473684,[],0
128,25,3,4.1,1.4,0.1,10.8,12.9,47.6190476190476,[0.72838],0.72838
128,25,3,3.7,1.3,0.2,9.3,11.3,50,"[0.651641, 0.959108]",1.610749
128,25,5,6.5,0.7,0.1,8.2,9.5,47.6190476190476,[],0
128,25,0,3.4,0.5,0.2,10.9,11.6,66.6666666666667,[],0
128,25,3,4.8,1,0.1,10.7,12.2,47.6190476190476,[0.74838],0.74838
128,25,4,5.4,1.3,0.1,10.7,12.6,43.4782608695652,"[0.93231, 0.920037]",1.852347
128,25,4,5.5,1.7,0.3,9,11.5,47.6190476190476,"[0.998413, 0.994049, 0.823786]",2.816248
128,25,3,3.8,0.6,0.1,8.2,9.2,58.8235294117647,"[0.704413, 0.545696]",1.250109
128,25,3,4,1.7,0.1,9.4,12,45.4545454545455,[0.909864],0.909864
128,25,4,4,0.7,0.1,7.9,9,55.5555555555556,[0.95155],0.95155
128,25,3,5.6,1,0.2,10.9,12.4,47.6190476190476,[0.557339],0.557339
128,25,4,5,1.4,0.1,10.8,13,45.4545454545455,[0.988072],0.988072
128,25,4,5.4,1.9,0.1,10.9,13.6,43.4782608695652,[],0
128,25,5,5.8,1.6,0.1,10.8,13.2,41.6666666666667,[],0
128,25,4,6.1,1.9,0.1,10.8,13.9,41.6666666666667,[0.980851],0.980851
128,25,5,4.5,1.8,0.1,10.8,13.5,41.6666666666667,[],0
128,25,3,3.5,1.3,0.1,10.8,12.5,47.6190476190476,[],0
128,25,3,4.8,1.6,0.1,11,13.2,45.4545454545455,[],0
128,25,4,5.4,2.1,0.1,9.3,12.6,43.4782608695652,[],0
128,25,4,4.4,1.8,0.1,10,12.6,45.4545454545455,[0.816301],0.816301
128,25,4,4.5,1,0.1,8.9,10.5,50,"[0.746663, 0.902027, 0.67161]",2.3203
128,25,4,4.8,2.2,0.2,8.8,12.2,47.6190476190476,[],0
128,25,3,4.6,0.6,0,7.4,8.4,58.8235294117647,[],0
128,25,3,4.5,0.8,0.1,9.2,10.5,52.6315789473684,[],0
